#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
  17.100      1.60321E-01  2.45818E-01  2.91952E-01 -2.65263E-01 -1.59578E-01 -4.12472E-03 -8.46761E-02 -2.05625E-01 -1.84777E-01
  17.200      1.57958E-01  2.43610E-01  2.91022E-01 -2.66688E-01 -1.64518E-01 -1.05463E-02 -7.84312E-02 -2.03551E-01 -1.88277E-01
  17.300      1.55605E-01  2.41377E-01  2.90031E-01 -2.68002E-01 -1.69362E-01 -1.69606E-02 -7.21160E-02 -2.01260E-01 -1.91554E-01
  17.400      1.53264E-01  2.39120E-01  2.88979E-01 -2.69207E-01 -1.74107E-01 -2.33631E-02 -6.57366E-02 -1.98754E-01 -1.94608E-01
  17.500      1.50935E-01  2.36839E-01  2.87868E-01 -2.70302E-01 -1.78751E-01 -2.97496E-02 -5.92989E-02 -1.96037E-01 -1.97433E-01
  17.600      1.48618E-01  2.34537E-01  2.86698E-01 -2.71290E-01 -1.83292E-01 -3.61157E-02 -5.28089E-02 -1.93114E-01 -2.00028E-01
  17.700      1.46315E-01  2.32214E-01  2.85471E-01 -2.72171E-01 -1.87729E-01 -4.24571E-02 -4.62727E-02 -1.89986E-01 -2.02390E-01
  17.800      1.44025E-01  2.29871E-01  2.84188E-01 -2.72947E-01 -1.92059E-01 -4.87698E-02 -3.96962E-02 -1.86660E-01 -2.04516E-01
  17.900      1.41750E-01  2.27511E-01  2.82850E-01 -2.73618E-01 -1.96282E-01 -5.50494E-02 -3.30853E-02 -1.83139E-01 -2.06406E-01
  18.000      1.39489E-01  2.25133E-01  2.81458E-01 -2.74185E-01 -2.00395E-01 -6.12920E-02 -2.64459E-02 -1.79427E-01 -2.08058E-01
  18.100      1.37244E-01  2.22740E-01  2.80013E-01 -2.74650E-01 -2.04398E-01 -6.74935E-02 -1.97839E-02 -1.75530E-01 -2.09469E-01
  18.200      1.35014E-01  2.20332E-01  2.78516E-01 -2.75014E-01 -2.08289E-01 -7.36499E-02 -1.31051E-02 -1.71452E-01 -2.10640E-01
  18.300      1.32801E-01  2.17910E-01  2.76969E-01 -2.75279E-01 -2.12066E-01 -7.97576E-02 -6.41520E-03 -1.67198E-01 -2.11569E-01
  18.400      1.30604E-01  2.15477E-01  2.75372E-01 -2.75445E-01 -2.15730E-01 -8.58125E-02  2.80090E-04 -1.62774E-01 -2.12257E-01
  18.500      1.28424E-01  2.13032E-01  2.73727E-01 -2.75514E-01 -2.19278E-01 -9.18111E-02  6.97515E-03 -1.58184E-01 -2.12703E-01
  18.600      1.26262E-01  2.10577E-01  2.72036E-01 -2.75488E-01 -2.22710E-01 -9.77497E-02  1.36644E-02 -1.53434E-01 -2.12907E-01
  18.700      1.24118E-01  2.08114E-01  2.70299E-01 -2.75368E-01 -2.26025E-01 -1.03625E-01  2.03425E-02 -1.48529E-01 -2.12870E-01
  18.800      1.21991E-01  2.05643E-01  2.68518E-01 -2.75155E-01 -2.29223E-01 -1.09433E-01  2.70039E-02 -1.43476E-01 -2.12593E-01
  18.900      1.19884E-01  2.03165E-01  2.66693E-01 -2.74852E-01 -2.32303E-01 -1.15171E-01  3.36434E-02 -1.38280E-01 -2.12077E-01
  19.000      1.17795E-01  2.00681E-01  2.64827E-01 -2.74459E-01 -2.35265E-01 -1.20835E-01  4.02557E-02 -1.32946E-01 -2.11323E-01
  19.100      1.15726E-01  1.98193E-01  2.62920E-01 -2.73979E-01 -2.38108E-01 -1.26422E-01  4.68358E-02 -1.27482E-01 -2.10333E-01
  19.200      1.13676E-01  1.95702E-01  2.60974E-01 -2.73413E-01 -2.40831E-01 -1.31930E-01  5.33786E-02 -1.21892E-01 -2.09108E-01
  19.300      1.11646E-01  1.93208E-01  2.58990E-01 -2.72762E-01 -2.43436E-01 -1.37355E-01  5.98792E-02 -1.16183E-01 -2.07651E-01
  19.400      1.09635E-01  1.90712E-01  2.56970E-01 -2.72029E-01 -2.45921E-01 -1.42694E-01  6.63328E-02 -1.10361E-01 -2.05965E-01
  19.500      1.07646E-01  1.88216E-01  2.54914E-01 -2.71216E-01 -2.48287E-01 -1.47944E-01  7.27348E-02 -1.04432E-01 -2.04052E-01
  19.600      1.05677E-01  1.85721E-01  2.52824E-01 -2.70323E-01 -2.50534E-01 -1.53104E-01  7.90805E-02 -9.84024E-02 -2.01914E-01
  19.700      1.03728E-01  1.83227E-01  2.50702E-01 -2.69354E-01 -2.52662E-01 -1.58170E-01  8.53654E-02 -9.22789E-02 -1.99556E-01
  19.800      1.01801E-01  1.80735E-01  2.48548E-01 -2.68308E-01 -2.54671E-01 -1.63140E-01  9.15854E-02 -8.60676E-02 -1.96980E-01
  19.900      9.98949E-02  1.78247E-01  2.46364E-01 -2.67190E-01 -2.56563E-01 -1.68011E-01  9.77361E-02 -7.97748E-02 -1.94191E-01
  20.000      9.80103E-02  1.75763E-01  2.44151E-01 -2.66000E-01 -2.58336E-01 -1.72782E-01  1.03813E-01 -7.34070E-02 -1.91191E-01
  20.100      9.61471E-02  1.73284E-01  2.41911E-01 -2.64740E-01 -2.59992E-01 -1.77450E-01  1.09813E-01 -6.69704E-02 -1.87986E-01
  20.200      9.43057E-02  1.70811E-01  2.39645E-01 -2.63412E-01 -2.61532E-01 -1.82013E-01  1.15732E-01 -6.04715E-02 -1.84579E-01
  20.300      9.24861E-02  1.68344E-01  2.37354E-01 -2.62017E-01 -2.62956E-01 -1.86470E-01  1.21566E-01 -5.39167E-02 -1.80974E-01
  20.400      9.06885E-02  1.65886E-01  2.35039E-01 -2.60559E-01 -2.64265E-01 -1.90818E-01  1.27312E-01 -4.73122E-02 -1.77177E-01
  20.500      8.89130E-02  1.63435E-01  2.32702E-01 -2.59039E-01 -2.65460E-01 -1.95056E-01  1.32966E-01 -4.06645E-02 -1.73193E-01
  20.600      8.71597E-02  1.60994E-01  2.30344E-01 -2.57458E-01 -2.66541E-01 -1.99182E-01  1.38524E-01 -3.39798E-02 -1.69025E-01
  20.700      8.54286E-02  1.58562E-01  2.27967E-01 -2.55819E-01 -2.67510E-01 -2.03195E-01  1.43985E-01 -2.72644E-02 -1.64680E-01
  20.800      8.37198E-02  1.56141E-01  2.25571E-01 -2.54123E-01 -2.68368E-01 -2.07094E-01  1.49344E-01 -2.05245E-02 -1.60163E-01
  20.900      8.20334E-02  1.53732E-01  2.23157E-01 -2.52373E-01 -2.69116E-01 -2.10877E-01  1.54599E-01 -1.37663E-02 -1.55479E-01
  21.000      8.03695E-02  1.51334E-01  2.20728E-01 -2.50569E-01 -2.69756E-01 -2.14543E-01  1.59747E-01 -6.99589E-03 -1.50634E-01
  21.100      7.87280E-02  1.48949E-01  2.18284E-01 -2.48716E-01 -2.70287E-01 -2.18092E-01  1.64786E-01 -2.19305E-04 -1.45634E-01
  21.200      7.71091E-02  1.46577E-01  2.15826E-01 -2.46813E-01 -2.70713E-01 -2.21522E-01  1.69713E-01  6.55748E-03 -1.40484E-01
  21.300      7.55126E-02  1.44220E-01  2.13357E-01 -2.44863E-01 -2.71034E-01 -2.24832E-01  1.74526E-01  1.33286E-02 -1.35191E-01
  21.400      7.39386E-02  1.41877E-01  2.10876E-01 -2.42868E-01 -2.71251E-01 -2.28022E-01  1.79222E-01  2.00881E-02 -1.29760E-01
  21.500      7.23872E-02  1.39549E-01  2.08385E-01 -2.40829E-01 -2.71366E-01 -2.31091E-01  1.83800E-01  2.68305E-02 -1.24198E-01
  21.600      7.08582E-02  1.37236E-01  2.05885E-01 -2.38750E-01 -2.71382E-01 -2.34039E-01  1.88257E-01  3.35500E-02 -1.18511E-01
  21.700      6.93516E-02  1.34940E-01  2.03378E-01 -2.36631E-01 -2.71298E-01 -2.36866E-01  1.92593E-01  4.02411E-02 -1.12705E-01
  21.800      6.78675E-02  1.32661E-01  2.00864E-01 -2.34474E-01 -2.71117E-01 -2.39571E-01  1.96805E-01  4.68984E-02 -1.06787E-01
  21.900      6.64057E-02  1.30399E-01  1.98345E-01 -2.32281E-01 -2.70841E-01 -2.42154E-01  2.00892E-01  5.35165E-02 -1.00763E-01
  22.000      6.49662E-02  1.28155E-01  1.95822E-01 -2.30054E-01 -2.70471E-01 -2.44615E-01  2.04853E-01  6.00904E-02 -9.46390E-02
  22.100      6.35489E-02  1.25929E-01  1.93295E-01 -2.27795E-01 -2.70009E-01 -2.46953E-01  2.08686E-01  6.66148E-02 -8.84227E-02
  22.200      6.21538E-02  1.23722E-01  1.90766E-01 -2.25505E-01 -2.69457E-01 -2.49170E-01  2.12391E-01  7.30848E-02 -8.21201E-02
  22.300      6.07808E-02  1.21534E-01  1.88236E-01 -2.23187E-01 -2.68816E-01 -2.51266E-01  2.15966E-01  7.94957E-02 -7.57378E-02
  22.400      5.94297E-02  1.19365E-01  1.85706E-01 -2.20842E-01 -2.68089E-01 -2.53240E-01  2.19411E-01  8.58426E-02 -6.92824E-02
  22.500      5.81005E-02  1.17216E-01  1.83178E-01 -2.18471E-01 -2.67277E-01 -2.55093E-01  2.22725E-01  9.21209E-02 -6.27605E-02
  22.600      5.67930E-02  1.15088E-01  1.80651E-01 -2.16077E-01 -2.66382E-01 -2.56826E-01  2.25907E-01  9.83264E-02 -5.61787E-02
  22.700      5.55072E-02  1.12980E-01  1.78127E-01 -2.13661E-01 -2.65407E-01 -2.58439E-01  2.28958E-01  1.04455E-01 -4.95437E-02
  22.800      5.42429E-02  1.10893E-01  1.75606E-01 -2.11224E-01 -2.64353E-01 -2.59933E-01  2.31876E-01  1.10501E-01 -4.28619E-02
  22.900      5.30000E-02  1.08827E-01  1.73091E-01 -2.08769E-01 -2.63222E-01 -2.61309E-01  2.34662E-01  1.16463E-01 -3.61399E-02
  23.000      5.17783E-02  1.06783E-01  1.70581E-01 -2.06297E-01 -2.62016E-01 -2.62568E-01  2.37316E-01  1.22335E-01 -2.93842E-02
  23.100      5.05778E-02  1.04760E-01  1.68078E-01 -2.03810E-01 -2.60737E-01 -2.63710E-01  2.39838E-01  1.28114E-01 -2.26014E-02
  23.200      4.93981E-02  1.02760E-01  1.65582E-01 -2.01309E-01 -2.59387E-01 -2.64736E-01  2.42227E-01  1.33796E-01 -1.57977E-02
  23.300      4.82393E-02  1.00782E-01  1.63095E-01 -1.98795E-01 -2.57969E-01 -2.65648E-01  2.44485E-01  1.39378E-01 -8.97953E-03
  23.400      4.71012E-02  9.88265E-02  1.60617E-01 -1.96270E-01 -2.56483E-01 -2.66447E-01  2.46612E-01  1.44858E-01 -2.15322E-03
  23.500      4.59834E-02  9.68937E-02  1.58148E-01 -1.93737E-01 -2.54933E-01 -2.67133E-01  2.48608E-01  1.50230E-01  4.67504E-03
  23.600      4.48860E-02  9.49837E-02  1.55691E-01 -1.91195E-01 -2.53320E-01 -2.67709E-01  2.50473E-01  1.55493E-01  1.14991E-02
  23.700      4.38087E-02  9.30969E-02  1.53245E-01 -1.88646E-01 -2.51647E-01 -2.68175E-01  2.52210E-01  1.60644E-01  1.83129E-02
  23.800      4.27514E-02  9.12333E-02  1.50811E-01 -1.86093E-01 -2.49915E-01 -2.68534E-01  2.53818E-01  1.65680E-01  2.51106E-02
  23.900      4.17138E-02  8.93930E-02  1.48389E-01 -1.83536E-01 -2.48126E-01 -2.68785E-01  2.55298E-01  1.70599E-01  3.18861E-02
  24.000      4.06958E-02  8.75762E-02  1.45982E-01 -1.80976E-01 -2.46283E-01 -2.68932E-01  2.56651E-01  1.75398E-01  3.86339E-02
  24.100      3.96971E-02  8.57831E-02  1.43589E-01 -1.78415E-01 -2.44387E-01 -2.68975E-01  2.57880E-01  1.80075E-01  4.53481E-02
  24.200      3.87176E-02  8.40136E-02  1.41210E-01 -1.75854E-01 -2.42441E-01 -2.68917E-01  2.58984E-01  1.84628E-01  5.20233E-02
  24.300      3.77571E-02  8.22679E-02  1.38848E-01 -1.73295E-01 -2.40447E-01 -2.68758E-01  2.59965E-01  1.89055E-01  5.86541E-02
  24.400      3.68153E-02  8.05460E-02  1.36501E-01 -1.70738E-01 -2.38406E-01 -2.68501E-01  2.60824E-01  1.93354E-01  6.52350E-02
  24.500      3.58921E-02  7.88480E-02  1.34171E-01 -1.68184E-01 -2.36321E-01 -2.68147E-01  2.61563E-01  1.97525E-01  7.17611E-02
  24.600      3.49872E-02  7.71739E-02  1.31858E-01 -1.65636E-01 -2.34194E-01 -2.67699E-01  2.62184E-01  2.01564E-01  7.82272E-02
  24.700      3.41005E-02  7.55238E-02  1.29563E-01 -1.63093E-01 -2.32026E-01 -2.67157E-01  2.62687E-01  2.05472E-01  8.46283E-02
  24.800      3.32317E-02  7.38976E-02  1.27287E-01 -1.60558E-01 -2.29820E-01 -2.66525E-01  2.63076E-01  2.09247E-01  9.09598E-02
  24.900      3.23806E-02  7.22954E-02  1.25029E-01 -1.58030E-01 -2.27578E-01 -2.65803E-01  2.63350E-01  2.12887E-01  9.72171E-02
  25.000      3.15470E-02  7.07170E-02  1.22791E-01 -1.55512E-01 -2.25301E-01 -2.64994E-01  2.63513E-01  2.16393E-01  1.03396E-01
  25.100      3.07307E-02  6.91626E-02  1.20572E-01 -1.53004E-01 -2.22992E-01 -2.64100E-01  2.63565E-01  2.19763E-01  1.09491E-01
  25.200      2.99313E-02  6.76321E-02  1.18374E-01 -1.50507E-01 -2.20652E-01 -2.63123E-01  2.63510E-01  2.22997E-01  1.15499E-01
  25.300      2.91488E-02  6.61253E-02  1.16196E-01 -1.48022E-01 -2.18283E-01 -2.62064E-01  2.63348E-01  2.26094E-01  1.21416E-01
  25.400      2.83829E-02  6.46423E-02  1.14039E-01 -1.45549E-01 -2.15887E-01 -2.60927E-01  2.63082E-01  2.29054E-01  1.27237E-01
  25.500      2.76334E-02  6.31830E-02  1.11903E-01 -1.43091E-01 -2.13466E-01 -2.59712E-01  2.62714E-01  2.31878E-01  1.32960E-01
  25.600      2.69000E-02  6.17473E-02  1.09789E-01 -1.40646E-01 -2.11022E-01 -2.58422E-01  2.62246E-01  2.34564E-01  1.38580E-01
  25.700      2.61825E-02  6.03351E-02  1.07697E-01 -1.38218E-01 -2.08557E-01 -2.57060E-01  2.61680E-01  2.37113E-01  1.44094E-01
  25.800      2.54807E-02  5.89463E-02  1.05628E-01 -1.35805E-01 -2.06072E-01 -2.55627E-01  2.61018E-01  2.39526E-01  1.49499E-01
  25.900      2.47943E-02  5.75808E-02  1.03581E-01 -1.33409E-01 -2.03569E-01 -2.54125E-01  2.60263E-01  2.41801E-01  1.54792E-01
  26.000      2.41232E-02  5.62385E-02  1.01557E-01 -1.31030E-01 -2.01049E-01 -2.52557E-01  2.59416E-01  2.43941E-01  1.59969E-01
  26.100      2.34670E-02  5.49192E-02  9.95557E-02 -1.28670E-01 -1.98515E-01 -2.50924E-01  2.58480E-01  2.45946E-01  1.65029E-01
  26.200      2.28256E-02  5.36228E-02  9.75781E-02 -1.26329E-01 -1.95968E-01 -2.49230E-01  2.57458E-01  2.47816E-01  1.69968E-01
  26.300      2.21987E-02  5.23492E-02  9.56240E-02 -1.24007E-01 -1.93410E-01 -2.47475E-01  2.56351E-01  2.49552E-01  1.74785E-01
  26.400      2.15862E-02  5.10981E-02  9.36938E-02 -1.21705E-01 -1.90842E-01 -2.45662E-01  2.55161E-01  2.51155E-01  1.79476E-01
  26.500      2.09877E-02  4.98696E-02  9.17874E-02 -1.19424E-01 -1.88266E-01 -2.43794E-01  2.53892E-01  2.52626E-01  1.84040E-01
  26.600      2.04030E-02  4.86633E-02  8.99052E-02 -1.17164E-01 -1.85683E-01 -2.41872E-01  2.52546E-01  2.53967E-01  1.88474E-01
  26.700      1.98320E-02  4.74791E-02  8.80472E-02 -1.14926E-01 -1.83095E-01 -2.39899E-01  2.51124E-01  2.55177E-01  1.92778E-01
  26.800      1.92743E-02  4.63169E-02  8.62136E-02 -1.12710E-01 -1.80503E-01 -2.37876E-01  2.49630E-01  2.56260E-01  1.96949E-01
  26.900      1.87298E-02  4.51764E-02  8.44045E-02 -1.10516E-01 -1.77908E-01 -2.35806E-01  2.48065E-01  2.57215E-01  2.00986E-01
  27.000      1.81983E-02  4.40575E-02  8.26199E-02 -1.08345E-01 -1.75313E-01 -2.33691E-01  2.46432E-01  2.58045E-01  2.04888E-01
  27.100      1.76794E-02  4.29599E-02  8.08600E-02 -1.06198E-01 -1.72718E-01 -2.31533E-01  2.44733E-01  2.58751E-01  2.08653E-01
  27.200      1.71730E-02  4.18834E-02  7.91248E-02 -1.04075E-01 -1.70125E-01 -2.29334E-01  2.42971E-01  2.59335E-01  2.12281E-01
  27.300      1.66790E-02  4.08279E-02  7.74144E-02 -1.01975E-01 -1.67535E-01 -2.27097E-01  2.41149E-01  2.59798E-01  2.15770E-01
  27.400      1.61969E-02  3.97932E-02  7.57287E-02 -9.99006E-02 -1.64949E-01 -2.24822E-01  2.39268E-01  2.60143E-01  2.19120E-01
  27.500      1.57267E-02  3.87789E-02  7.40679E-02 -9.78505E-02 -1.62369E-01 -2.22513E-01  2.37330E-01  2.60371E-01  2.22331E-01
  27.600      1.52681E-02  3.77850E-02  7.24319E-02 -9.58254E-02 -1.59795E-01 -2.20170E-01  2.35339E-01  2.60484E-01  2.25401E-01
  27.700      1.48208E-02  3.68111E-02  7.08207E-02 -9.38256E-02 -1.57229E-01 -2.17797E-01  2.33297E-01  2.60483E-01  2.28331E-01
  27.800      1.43848E-02  3.58570E-02  6.92342E-02 -9.18512E-02 -1.54672E-01 -2.15396E-01  2.31205E-01  2.60372E-01  2.31121E-01
  27.900      1.39597E-02  3.49226E-02  6.76726E-02 -8.99026E-02 -1.52125E-01 -2.12967E-01  2.29066E-01  2.60153E-01  2.33771E-01
  28.000      1.35454E-02  3.40076E-02  6.61356E-02 -8.79799E-02 -1.49589E-01 -2.10513E-01  2.26883E-01  2.59826E-01  2.36280E-01
  28.100      1.31416E-02  3.31116E-02  6.46232E-02 -8.60832E-02 -1.47065E-01 -2.08036E-01  2.24658E-01  2.59395E-01  2.38650E-01
  28.200      1.27482E-02  3.22346E-02  6.31355E-02 -8.42127E-02 -1.44554E-01 -2.05538E-01  2.22392E-01  2.58862E-01  2.40880E-01
  28.300      1.23649E-02  3.13763E-02  6.16722E-02 -8.23685E-02 -1.42057E-01 -2.03021E-01  2.20089E-01  2.58229E-01  2.42971E-01
  28.400      1.19915E-02  3.05363E-02  6.02333E-02 -8.05507E-02 -1.39574E-01 -2.00485E-01  2.17750E-01  2.57498E-01  2.44923E-01
  28.500      1.16278E-02  2.97145E-02  5.88187E-02 -7.87594E-02 -1.37108E-01 -1.97934E-01  2.15378E-01  2.56672E-01  2.46739E-01
  28.600      1.12737E-02  2.89107E-02  5.74283E-02 -7.69947E-02 -1.34658E-01 -1.95369E-01  2.12975E-01  2.55754E-01  2.48417E-01
  28.700      1.09289E-02  2.81245E-02  5.60619E-02 -7.52565E-02 -1.32225E-01 -1.92792E-01  2.10542E-01  2.54744E-01  2.49960E-01
  28.800      1.05932E-02  2.73557E-02  5.47194E-02 -7.35450E-02 -1.29810E-01 -1.90203E-01  2.08082E-01  2.53647E-01  2.51369E-01
  28.900      1.02665E-02  2.66041E-02  5.34007E-02 -7.18601E-02 -1.27415E-01 -1.87606E-01  2.05597E-01  2.52464E-01  2.52644E-01
  29.000      9.94859E-03  2.58693E-02  5.21057E-02 -7.02018E-02 -1.25038E-01 -1.85001E-01  2.03089E-01  2.51199E-01  2.53787E-01
  29.100      9.63921E-03  2.51513E-02  5.08341E-02 -6.85702E-02 -1.22682E-01 -1.82390E-01  2.00561E-01  2.49852E-01  2.54799E-01
  29.200      9.33822E-03  2.44497E-02  4.95858E-02 -6.69651E-02 -1.20347E-01 -1.79775E-01  1.98013E-01  2.48427E-01  2.55683E-01
  29.300      9.04542E-03  2.37642E-02  4.83606E-02 -6.53865E-02 -1.18033E-01 -1.77156E-01  1.95448E-01  2.46927E-01  2.56439E-01
  29.400      8.76065E-03  2.30946E-02  4.71584E-02 -6.38343E-02 -1.15741E-01 -1.74537E-01  1.92867E-01  2.45354E-01  2.57069E-01
  29.500      8.48372E-03  2.24406E-02  4.59789E-02 -6.23085E-02 -1.13472E-01 -1.71917E-01  1.90274E-01  2.43710E-01  2.57576E-01
  29.600      8.21446E-03  2.18020E-02  4.48219E-02 -6.08090E-02 -1.11226E-01 -1.69299E-01  1.87669E-01  2.41999E-01  2.57960E-01
  29.700      7.95270E-03  2.11786E-02  4.36873E-02 -5.93356E-02 -1.09003E-01 -1.66683E-01  1.85053E-01  2.40221E-01  2.58224E-01
  29.800      7.69826E-03  2.05700E-02  4.25748E-02 -5.78883E-02 -1.06805E-01 -1.64072E-01  1.82430E-01  2.38381E-01  2.58369E-01
  29.900      7.45098E-03  1.99761E-02  4.14843E-02 -5.64669E-02 -1.04630E-01 -1.61466E-01  1.79801E-01  2.36480E-01  2.58399E-01
  30.000      7.21070E-03  1.93966E-02  4.04154E-02 -5.50712E-02 -1.02481E-01 -1.58866E-01  1.77167E-01  2.34522E-01  2.58314E-01
