#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
   3.500      1.77721E-01  5.57740E-02  1.35582E-02  1.96225E-01  8.29752E-02  2.42944E-02  1.96835E-01  1.03163E-01  3.48884E-02
   3.600      1.82018E-01  5.87546E-02  1.46908E-02  1.99697E-01  8.70912E-02  2.62567E-02  1.98921E-01  1.07871E-01  3.76079E-02
   3.700      1.86252E-01  6.17914E-02  1.58793E-02  2.03004E-01  9.12487E-02  2.83061E-02  2.00748E-01  1.12578E-01  4.04343E-02
   3.800      1.90423E-01  6.48826E-02  1.71243E-02  2.06143E-01  9.54423E-02  3.04427E-02  2.02312E-01  1.17275E-01  4.33655E-02
   3.900      1.94528E-01  6.80258E-02  1.84264E-02  2.09113E-01  9.96664E-02  3.26659E-02  2.03612E-01  1.21954E-01  4.63993E-02
   4.000      1.98568E-01  7.12189E-02  1.97860E-02  2.11911E-01  1.03916E-01  3.49754E-02  2.04646E-01  1.26604E-01  4.95333E-02
   4.100      2.02541E-01  7.44598E-02  2.12035E-02  2.14535E-01  1.08184E-01  3.73705E-02  2.05414E-01  1.31217E-01  5.27645E-02
   4.200      2.06445E-01  7.77462E-02  2.26793E-02  2.16983E-01  1.12467E-01  3.98502E-02  2.05914E-01  1.35783E-01  5.60898E-02
   4.300      2.10280E-01  8.10759E-02  2.42137E-02  2.19254E-01  1.16758E-01  4.24137E-02  2.06147E-01  1.40294E-01  5.95059E-02
   4.400      2.14044E-01  8.44465E-02  2.58069E-02  2.21345E-01  1.21052E-01  4.50596E-02  2.06111E-01  1.44741E-01  6.30090E-02
   4.500      2.17737E-01  8.78559E-02  2.74590E-02  2.23256E-01  1.25343E-01  4.77867E-02  2.05808E-01  1.49114E-01  6.65952E-02
   4.600      2.21358E-01  9.13016E-02  2.91701E-02  2.24985E-01  1.29625E-01  5.05933E-02  2.05238E-01  1.53406E-01  7.02601E-02
   4.700      2.24905E-01  9.47814E-02  3.09402E-02  2.26531E-01  1.33893E-01  5.34779E-02  2.04402E-01  1.57606E-01  7.39993E-02
   4.800      2.28378E-01  9.82928E-02  3.27691E-02  2.27893E-01  1.38141E-01  5.64385E-02  2.03302E-01  1.61707E-01  7.78080E-02
   4.900      2.31776E-01  1.01834E-01  3.46568E-02  2.29070E-01  1.42364E-01  5.94730E-02  2.01938E-01  1.65701E-01  8.16812E-02
   5.000      2.35099E-01  1.05401E-01  3.66031E-02  2.30062E-01  1.46556E-01  6.25793E-02  2.00314E-01  1.69578E-01  8.56136E-02
   5.100      2.38345E-01  1.08994E-01  3.86077E-02  2.30868E-01  1.50711E-01  6.57551E-02  1.98432E-01  1.73332E-01  8.95996E-02
   5.200      2.41514E-01  1.12608E-01  4.06702E-02  2.31487E-01  1.54825E-01  6.89978E-02  1.96293E-01  1.76953E-01  9.36336E-02
   5.300      2.44605E-01  1.16243E-01  4.27902E-02  2.31921E-01  1.58891E-01  7.23048E-02  1.93903E-01  1.80435E-01  9.77097E-02
   5.400      2.47617E-01  1.19895E-01  4.49672E-02  2.32168E-01  1.62904E-01  7.56732E-02  1.91262E-01  1.83770E-01  1.01822E-01
   5.500      2.50550E-01  1.23562E-01  4.72006E-02  2.32229E-01  1.66859E-01  7.91002E-02  1.88377E-01  1.86951E-01  1.05963E-01
   5.600      2.53404E-01  1.27241E-01  4.94899E-02  2.32105E-01  1.70751E-01  8.25825E-02  1.85249E-01  1.89970E-01  1.10128E-01
   5.700      2.56177E-01  1.30931E-01  5.18344E-02  2.31795E-01  1.74573E-01  8.61171E-02  1.81884E-01  1.92822E-01  1.14309E-01
   5.800      2.58870E-01  1.34628E-01  5.42333E-02  2.31300E-01  1.78323E-01  8.97006E-02  1.78287E-01  1.95499E-01  1.18500E-01
   5.900      2.61482E-01  1.38331E-01  5.66858E-02  2.30621E-01  1.81993E-01  9.33294E-02  1.74462E-01  1.97995E-01  1.22694E-01
   6.000      2.64013E-01  1.42037E-01  5.91910E-02  2.29760E-01  1.85580E-01  9.70000E-02  1.70414E-01  2.00305E-01  1.26883E-01
   6.100      2.66462E-01  1.45744E-01  6.17479E-02  2.28716E-01  1.89078E-01  1.00709E-01  1.66150E-01  2.02422E-01  1.31062E-01
   6.200      2.68829E-01  1.49449E-01  6.43557E-02  2.27492E-01  1.92482E-01  1.04451E-01  1.61673E-01  2.04342E-01  1.35221E-01
   6.300      2.71114E-01  1.53150E-01  6.70132E-02  2.26088E-01  1.95789E-01  1.08225E-01  1.56992E-01  2.06060E-01  1.39354E-01
   6.400      2.73316E-01  1.56845E-01  6.97192E-02  2.24507E-01  1.98993E-01  1.12024E-01  1.52111E-01  2.07570E-01  1.43454E-01
   6.500      2.75436E-01  1.60531E-01  7.24727E-02  2.22749E-01  2.02090E-01  1.15846E-01  1.47037E-01  2.08868E-01  1.47513E-01
